"","scientific_name","lowT","medT","highT","n_inat","n_ebird","lowT_cs","medT_cs","highT_cs"
"1","Accipiter cooperii",1,1,1,0,42,"both","both","both"
"3","Accipiter striatus",1,1,1,2,62,"both","both","both"
"4","Actitis macularius",1,1,1,0,36,"both","both","both"
"6","Aechmophorus occidentalis",1,1,1,1,124,"both","both","both"
"10","Agelaius phoeniceus",1,1,1,11,481,"both","both","both"
"11","Aix sponsa",1,1,1,10,261,"both","both","both"
"13","Anas acuta",1,1,1,0,16,"both","both","both"
"14","Anas americana",1,1,1,0,40,"both","both","both"
"15","Anas clypeata",1,1,1,0,10,"both","both","both"
"16","Anas crecca",1,1,1,1,21,"both","both","both"
"17","Anas cyanoptera",1,1,1,0,2,"both","both","both"
"18","Anas discors",1,1,1,0,1,"both","both","both"
"19","Anas penelope",1,1,1,0,1,"both","both","both"
"20","Anas platyrhynchos",1,1,1,17,934,"both","both","both"
"21","Anas strepera",1,1,1,0,2,"both","both","both"
"22","Anser albifrons",1,1,1,2,12,"both","both","both"
"23","Anthus rubescens",1,1,1,0,4,"both","both","both"
"26","Ardea herodias",1,1,1,13,830,"both","both","both"
"27","Arenaria melanocephala",1,1,1,3,152,"both","both","both"
"30","Aythya affinis",1,1,1,1,91,"both","both","both"
"31","Aythya americana",1,1,0,0,6,"both","both","cs_only"
"32","Aythya collaris",1,1,1,5,272,"both","both","both"
"33","Aythya marila",1,1,1,1,19,"both","both","both"
"35","Bombycilla cedrorum",1,1,1,6,209,"both","both","both"
"39","Brachyramphus marmoratus",1,1,1,3,473,"both","both","both"
"40","Branta bernicla",1,1,1,0,1,"both","both","both"
"41","Branta canadensis",1,1,1,15,1112,"both","both","both"
"42","Branta hutchinsii",1,1,1,0,8,"both","both","both"
"44","Bubo virginianus",1,1,1,0,6,"both","both","both"
"45","Bucephala albeola",1,1,1,6,827,"both","both","both"
"46","Bucephala clangula",1,1,1,5,456,"both","both","both"
"47","Bucephala islandica",1,1,1,6,593,"both","both","both"
"48","Buteo jamaicensis",1,1,1,4,111,"both","both","both"
"55","Calidris alpina",1,1,1,0,5,"both","both","both"
"58","Calidris mauri",1,1,1,0,2,"both","both","both"
"59","Calidris melanotos",1,1,1,0,1,"both","both","both"
"60","Calidris minutilla",1,1,1,0,6,"both","both","both"
"62","Calypte anna",1,1,1,16,840,"both","both","both"
"63","Cardellina pusilla",1,1,1,3,177,"both","both","both"
"64","Carduelis flammea",1,1,1,0,5,"both","both","both"
"69","Carpodacus mexicanus",1,1,1,4,154,"both","both","both"
"70","Carpodacus purpureus",1,1,1,3,110,"both","both","both"
"71","Cathartes aura",1,1,1,17,548,"both","both","both"
"73","Catharus guttatus",1,1,1,2,142,"both","both","both"
"74","Catharus ustulatus",1,1,1,1,332,"both","both","both"
"76","Cepphus columba",1,1,1,0,85,"both","both","both"
"77","Cerorhinca monocerata",1,1,1,4,54,"both","both","both"
"78","Certhia americana",1,1,1,7,682,"both","both","both"
"79","Chaetura vauxi",1,1,1,0,40,"both","both","both"
"81","Charadrius vociferus",1,1,1,0,8,"both","both","both"
"85","Chordeiles minor",1,1,1,2,83,"both","both","both"
"86","Chroicocephalus philadelphia",1,1,1,1,121,"both","both","both"
"87","Circus cyaneus",1,1,1,0,9,"both","both","both"
"88","Cistothorus palustris",1,1,1,0,17,"both","both","both"
"89","Clangula hyemalis",1,1,1,0,18,"both","both","both"
"90","Coccothraustes vespertinus",1,1,1,1,26,"both","both","both"
"91","Colaptes auratus",1,1,1,27,1242,"both","both","both"
"92","Contopus cooperi",1,1,1,1,61,"both","both","both"
"93","Contopus sordidulus",1,1,1,0,47,"both","both","both"
"94","Corvus brachyrhynchos",1,1,0,6,1656,"both","both","cs_only"
"96","Corvus corax",1,1,1,22,2197,"both","both","both"
"98","Cyanocitta stelleri",1,1,1,13,631,"both","both","both"
"99","Cygnus buccinator",1,1,1,1,31,"both","both","both"
"100","Cygnus columbianus",1,1,1,0,3,"both","both","both"
"101","Cypseloides niger",1,1,1,1,47,"both","both","both"
"102","Dendragapus fuliginosus",1,1,1,1,8,"both","both","both"
"104","Dendroica petechia",1,1,1,0,60,"both","both","both"
"105","Dendroica townsendi",1,1,1,2,299,"both","both","both"
"107","Dryocopus pileatus",1,1,1,34,669,"both","both","both"
"108","Dumetella carolinensis",1,1,0,0,2,"both","both","cs_only"
"110","Empidonax difficilis",1,1,1,1,600,"both","both","both"
"112","Empidonax hammondii",1,1,1,3,114,"both","both","both"
"116","Empidonax traillii",1,1,1,3,133,"both","both","both"
"120","Euphagus cyanocephalus",1,1,1,0,8,"both","both","both"
"122","Falco columbarius",1,1,1,5,110,"both","both","both"
"124","Falco peregrinus",1,1,1,0,17,"both","both","both"
"126","Falco sparverius",1,1,1,1,5,"both","both","both"
"127","Fulica americana",1,1,1,3,112,"both","both","both"
"128","Gallinago delicata",1,1,1,0,1,"both","both","both"
"129","Gavia immer",1,1,1,2,287,"both","both","both"
"130","Gavia pacifica",1,1,1,0,150,"both","both","both"
"131","Gavia stellata",1,1,1,0,48,"both","both","both"
"132","Geothlypis tolmiei",1,1,1,1,30,"both","both","both"
"133","Geothlypis trichas",1,1,1,6,197,"both","both","both"
"134","Glaucidium gnoma",1,1,1,1,2,"both","both","both"
"135","Grus canadensis",1,1,0,0,2,"both","both","cs_only"
"136","Haematopus bachmani",1,1,1,2,500,"both","both","both"
"137","Haliaeetus leucocephalus",1,1,1,22,1176,"both","both","both"
"139","Hirundo rustica",1,1,1,4,135,"both","both","both"
"140","Histrionicus histrionicus",1,1,1,2,70,"both","both","both"
"141","Hydroprogne caspia",1,1,1,0,14,"both","both","both"
"143","Icterus bullockii",1,1,0,0,4,"both","both","cs_only"
"145","Ixoreus naevius",1,1,1,23,579,"both","both","both"
"146","Junco hyemalis",1,1,1,24,1317,"both","both","both"
"152","Larus argentatus",1,1,1,0,23,"both","both","both"
"153","Larus californicus",1,1,1,0,167,"both","both","both"
"154","Larus canus",1,1,1,7,819,"both","both","both"
"155","Larus delawarensis",1,1,1,0,115,"both","both","both"
"156","Larus glaucescens",1,1,1,4,1887,"both","both","both"
"158","Larus occidentalis",1,1,1,1,2,"both","both","both"
"163","Limnodromus scolopaceus",1,1,1,0,2,"both","both","both"
"165","Lophodytes cucullatus",1,1,1,13,486,"both","both","both"
"166","Loxia curvirostra",1,1,1,2,218,"both","both","both"
"168","Megaceryle alcyon",1,1,1,5,761,"both","both","both"
"171","Melanitta fusca",1,1,1,0,58,"both","both","both"
"172","Melanitta nigra",1,1,1,1,28,"both","both","both"
"173","Melanitta perspicillata",1,1,1,5,711,"both","both","both"
"174","Melospiza georgiana",1,1,1,1,3,"both","both","both"
"175","Melospiza lincolnii",1,1,1,2,31,"both","both","both"
"176","Melospiza melodia",1,1,1,17,1509,"both","both","both"
"178","Mergus serrator",1,1,1,3,174,"both","both","both"
"180","Molothrus ater",1,1,1,9,120,"both","both","both"
"181","Myadestes townsendi",1,1,1,1,14,"both","both","both"
"186","Oreothlypis celata",1,1,1,6,176,"both","both","both"
"188","Oreothlypis ruficapilla",1,1,0,0,7,"both","both","cs_only"
"190","Oxyura jamaicensis",1,1,1,1,8,"both","both","both"
"191","Pandion haliaetus",1,1,1,1,8,"both","both","both"
"193","Passerculus sandwichensis",1,1,1,3,40,"both","both","both"
"194","Passerella iliaca",1,1,1,4,183,"both","both","both"
"196","Patagioenas fasciata",1,1,1,3,138,"both","both","both"
"201","Petrochelidon pyrrhonota",1,1,1,0,5,"both","both","both"
"202","Phalacrocorax auritus",1,1,1,2,979,"both","both","both"
"203","Phalacrocorax pelagicus",1,1,1,3,898,"both","both","both"
"204","Phalacrocorax penicillatus",1,1,1,0,153,"both","both","both"
"206","Phalaropus lobatus",1,1,1,0,2,"both","both","both"
"209","Pheucticus melanocephalus",1,1,1,7,236,"both","both","both"
"213","Picoides pubescens",1,1,1,1,217,"both","both","both"
"214","Picoides villosus",1,1,1,10,217,"both","both","both"
"216","Pipilo maculatus",1,1,1,14,1894,"both","both","both"
"217","Piranga ludoviciana",1,1,1,2,252,"both","both","both"
"221","Podiceps auritus",1,1,1,2,504,"both","both","both"
"222","Podiceps grisegena",1,1,1,1,442,"both","both","both"
"223","Podiceps nigricollis",1,1,1,0,3,"both","both","both"
"224","Podilymbus podiceps",1,1,1,8,652,"both","both","both"
"227","Poecile rufescens",1,1,1,8,1304,"both","both","both"
"229","Porzana carolina",1,1,0,1,1,"both","both","cs_only"
"230","Progne subis",1,1,0,0,18,"both","both","cs_only"
"231","Psaltriparus minimus",1,1,1,0,37,"both","both","both"
"233","Rallus limicola",1,1,1,2,102,"both","both","both"
"235","Regulus calendula",1,1,1,3,381,"both","both","both"
"236","Regulus satrapa",1,1,1,11,951,"both","both","both"
"244","Selasphorus rufus",1,1,1,15,393,"both","both","both"
"246","Setophaga coronata",1,1,1,22,463,"both","both","both"
"248","Setophaga nigrescens",1,1,1,3,341,"both","both","both"
"251","Sialia currucoides",1,1,0,0,1,"both","both","cs_only"
"253","Sitta canadensis",1,1,1,4,1064,"both","both","both"
"257","Sphyrapicus ruber",1,1,1,24,318,"both","both","both"
"259","Spinus pinus",1,1,0,15,608,"both","both","cs_only"
"260","Spinus tristis",1,1,1,2,193,"both","both","both"
"264","Spizella passerina",1,1,1,1,5,"both","both","both"
"265","Stelgidopteryx serripennis",1,1,1,1,89,"both","both","both"
"266","Stercorarius parasiticus",1,1,1,0,4,"both","both","both"
"271","Strix varia",1,1,1,35,264,"both","both","both"
"274","Synthliboramphus antiquus",1,1,1,0,8,"both","both","both"
"275","Tachycineta bicolor",1,1,1,20,474,"both","both","both"
"276","Thryomanes bewickii",1,1,0,0,18,"both","both","cs_only"
"278","Tringa incana",1,1,1,0,1,"both","both","both"
"279","Tringa melanoleuca",1,1,1,0,8,"both","both","both"
"280","Tringa solitaria",1,1,1,0,1,"both","both","both"
"281","Troglodytes aedon",1,1,0,2,52,"both","both","cs_only"
"283","Troglodytes pacificus",1,1,1,13,1290,"both","both","both"
"284","Turdus migratorius",1,1,1,27,1481,"both","both","both"
"286","Vireo cassinii",1,1,1,0,51,"both","both","both"
"287","Vireo gilvus",1,1,1,2,364,"both","both","both"
"288","Vireo huttoni",1,1,1,1,113,"both","both","both"
"289","Vireo olivaceus",1,1,1,0,10,"both","both","both"
"292","Zenaida macroura",1,1,1,0,3,"both","both","both"
"293","Zonotrichia albicollis",1,1,1,1,11,"both","both","both"
"294","Zonotrichia atricapilla",1,1,1,3,153,"both","both","both"
"295","Zonotrichia leucophrys",1,1,1,11,421,"both","both","both"
