"scientific_name","lowT","medT","highT","n_inat","n_ebird","lowT_cs","medT_cs","highT_cs"
"Accipiter cooperii",1,1,1,0,42,"both","both","both"
"Accipiter gentilis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Accipiter striatus",1,1,1,2,62,"both","both","both"
"Actitis macularius",1,1,1,0,36,"both","both","both"
"Aechmophorus clarkii",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Aechmophorus occidentalis",1,1,1,1,124,"both","both","both"
"Aegolius acadicus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Aegolius funereus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Aeronautes saxatalis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Agelaius phoeniceus",1,1,1,11,481,"both","both","both"
"Aix sponsa",1,1,1,10,261,"both","both","both"
"Ammodramus savannarum",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Anas acuta",1,1,1,0,16,"both","both","both"
"Anas americana",1,1,1,0,40,"both","both","both"
"Anas clypeata",1,1,1,0,10,"both","both","both"
"Anas crecca",1,1,1,1,21,"both","both","both"
"Anas cyanoptera",1,1,1,0,2,"both","both","both"
"Anas discors",1,1,1,0,1,"both","both","both"
"Anas penelope",1,1,1,0,1,"both","both","both"
"Anas platyrhynchos",1,1,1,17,934,"both","both","both"
"Anas strepera",1,1,1,0,2,"both","both","both"
"Anser albifrons",1,1,1,2,12,"both","both","both"
"Anthus rubescens",1,1,1,0,4,"both","both","both"
"Aquila chrysaetos",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Archilochus alexandri",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Ardea herodias",1,1,1,13,830,"both","both","both"
"Arenaria melanocephala",1,1,1,3,152,"both","both","both"
"Asio flammeus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Asio otus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Aythya affinis",1,1,1,1,91,"both","both","both"
"Aythya americana",1,1,0,0,6,"both","both","cs_only"
"Aythya collaris",1,1,1,5,272,"both","both","both"
"Aythya marila",1,1,1,1,19,"both","both","both"
"Aythya valisineria",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Bombycilla cedrorum",1,1,1,6,209,"both","both","both"
"Bombycilla garrulus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Bonasa umbellus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Botaurus lentiginosus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Brachyramphus marmoratus",1,1,1,3,473,"both","both","both"
"Branta bernicla",1,1,1,0,1,"both","both","both"
"Branta canadensis",1,1,1,15,1112,"both","both","both"
"Branta hutchinsii",1,1,1,0,8,"both","both","both"
"Bubo scandiacus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Bubo virginianus",1,1,1,0,6,"both","both","both"
"Bucephala albeola",1,1,1,6,827,"both","both","both"
"Bucephala clangula",1,1,1,5,456,"both","both","both"
"Bucephala islandica",1,1,1,6,593,"both","both","both"
"Buteo jamaicensis",1,1,1,4,111,"both","both","both"
"Buteo lagopus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Buteo platypterus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Buteo swainsoni",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Butorides virescens",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Calcarius lapponicus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Calidris alba",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Calidris alpina",1,1,1,0,5,"both","both","both"
"Calidris bairdii",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Calidris himantopus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Calidris mauri",1,1,1,0,2,"both","both","both"
"Calidris melanotos",1,1,1,0,1,"both","both","both"
"Calidris minutilla",1,1,1,0,6,"both","both","both"
"Calidris pusilla",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Calypte anna",1,1,1,16,840,"both","both","both"
"Cardellina pusilla",1,1,1,3,177,"both","both","both"
"Carduelis flammea",1,1,1,0,5,"both","both","both"
"Carduelis hornemanni",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Carduelis pinus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Carduelis tristis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Carpodacus cassinii",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Carpodacus mexicanus",1,1,1,4,154,"both","both","both"
"Carpodacus purpureus",1,1,1,3,110,"both","both","both"
"Cathartes aura",1,1,1,17,548,"both","both","both"
"Catharus fuscescens",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Catharus guttatus",1,1,1,2,142,"both","both","both"
"Catharus ustulatus",1,1,1,1,332,"both","both","both"
"Catherpes mexicanus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Cepphus columba",1,1,1,0,85,"both","both","both"
"Cerorhinca monocerata",1,1,1,4,54,"both","both","both"
"Certhia americana",1,1,1,7,682,"both","both","both"
"Chaetura vauxi",1,1,1,0,40,"both","both","both"
"Charadrius semipalmatus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Charadrius vociferus",1,1,1,0,8,"both","both","both"
"Chen caerulescens",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Chlidonias niger",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Chondestes grammacus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Chordeiles minor",1,1,1,2,83,"both","both","both"
"Chroicocephalus philadelphia",1,1,1,1,121,"both","both","both"
"Circus cyaneus",1,1,1,0,9,"both","both","both"
"Cistothorus palustris",1,1,1,0,17,"both","both","both"
"Clangula hyemalis",1,1,1,0,18,"both","both","both"
"Coccothraustes vespertinus",1,1,1,1,26,"both","both","both"
"Colaptes auratus",1,1,1,27,1242,"both","both","both"
"Contopus cooperi",1,1,1,1,61,"both","both","both"
"Contopus sordidulus",1,1,1,0,47,"both","both","both"
"Corvus brachyrhynchos",1,1,0,6,1656,"both","both","cs_only"
"Corvus caurinus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Corvus corax",1,1,1,22,2197,"both","both","both"
"Cyanocitta cristata",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Cyanocitta stelleri",1,1,1,13,631,"both","both","both"
"Cygnus buccinator",1,1,1,1,31,"both","both","both"
"Cygnus columbianus",1,1,1,0,3,"both","both","both"
"Cypseloides niger",1,1,1,1,47,"both","both","both"
"Dendragapus fuliginosus",1,1,1,1,8,"both","both","both"
"Dendragapus obscurus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Dendroica petechia",1,1,1,0,60,"both","both","both"
"Dendroica townsendi",1,1,1,2,299,"both","both","both"
"Dolichonyx oryzivorus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Dryocopus pileatus",1,1,1,34,669,"both","both","both"
"Dumetella carolinensis",1,1,0,0,2,"both","both","cs_only"
"Empidonax alnorum",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Empidonax difficilis",1,1,1,1,600,"both","both","both"
"Empidonax flaviventris",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Empidonax hammondii",1,1,1,3,114,"both","both","both"
"Empidonax minimus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Empidonax oberholseri",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Empidonax occidentalis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Empidonax traillii",1,1,1,3,133,"both","both","both"
"Empidonax wrightii",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Eremophila alpestris",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Euphagus carolinus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Euphagus cyanocephalus",1,1,1,0,8,"both","both","both"
"Falcipennis canadensis",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Falco columbarius",1,1,1,5,110,"both","both","both"
"Falco mexicanus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Falco peregrinus",1,1,1,0,17,"both","both","both"
"Falco rusticolus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Falco sparverius",1,1,1,1,5,"both","both","both"
"Fulica americana",1,1,1,3,112,"both","both","both"
"Gallinago delicata",1,1,1,0,1,"both","both","both"
"Gavia immer",1,1,1,2,287,"both","both","both"
"Gavia pacifica",1,1,1,0,150,"both","both","both"
"Gavia stellata",1,1,1,0,48,"both","both","both"
"Geothlypis tolmiei",1,1,1,1,30,"both","both","both"
"Geothlypis trichas",1,1,1,6,197,"both","both","both"
"Glaucidium gnoma",1,1,1,1,2,"both","both","both"
"Grus canadensis",1,1,0,0,2,"both","both","cs_only"
"Haematopus bachmani",1,1,1,2,500,"both","both","both"
"Haliaeetus leucocephalus",1,1,1,22,1176,"both","both","both"
"Himantopus mexicanus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Hirundo rustica",1,1,1,4,135,"both","both","both"
"Histrionicus histrionicus",1,1,1,2,70,"both","both","both"
"Hydroprogne caspia",1,1,1,0,14,"both","both","both"
"Icteria virens",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Icterus bullockii",1,1,0,0,4,"both","both","cs_only"
"Icterus galbula",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Ixoreus naevius",1,1,1,23,579,"both","both","both"
"Junco hyemalis",1,1,1,24,1317,"both","both","both"
"Junco oregonus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Lagopus lagopus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Lagopus leucura",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Lagopus muta",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Lanius excubitor",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Larus argentatus",1,1,1,0,23,"both","both","both"
"Larus californicus",1,1,1,0,167,"both","both","both"
"Larus canus",1,1,1,7,819,"both","both","both"
"Larus delawarensis",1,1,1,0,115,"both","both","both"
"Larus glaucescens",1,1,1,4,1887,"both","both","both"
"Larus hyperboreus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Larus occidentalis",1,1,1,1,2,"both","both","both"
"Larus thayeri",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Leucophaeus pipixcan",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Leucosticte tephrocotis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Limnodromus griseus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Limnodromus scolopaceus",1,1,1,0,2,"both","both","both"
"Limosa haemastica",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Lophodytes cucullatus",1,1,1,13,486,"both","both","both"
"Loxia curvirostra",1,1,1,2,218,"both","both","both"
"Loxia leucoptera",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Megaceryle alcyon",1,1,1,5,761,"both","both","both"
"Megascops kennicottii",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Melanerpes lewis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Melanitta fusca",1,1,1,0,58,"both","both","both"
"Melanitta nigra",1,1,1,1,28,"both","both","both"
"Melanitta perspicillata",1,1,1,5,711,"both","both","both"
"Melospiza georgiana",1,1,1,1,3,"both","both","both"
"Melospiza lincolnii",1,1,1,2,31,"both","both","both"
"Melospiza melodia",1,1,1,17,1509,"both","both","both"
"Mergus merganser",1,0,0,8,945,"both","cs_only","cs_only"
"Mergus serrator",1,1,1,3,174,"both","both","both"
"Mniotilta varia",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Molothrus ater",1,1,1,9,120,"both","both","both"
"Myadestes townsendi",1,1,1,1,14,"both","both","both"
"Nucifraga columbiana",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Numenius americanus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Numenius phaeopus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Oreoscoptes montanus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Oreothlypis celata",1,1,1,6,176,"both","both","both"
"Oreothlypis peregrina",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Oreothlypis ruficapilla",1,1,0,0,7,"both","both","cs_only"
"Otus flammeolus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Oxyura jamaicensis",1,1,1,1,8,"both","both","both"
"Pandion haliaetus",1,1,1,1,8,"both","both","both"
"Parkesia noveboracensis",1,0,0,0,1,"both","cs_only","cs_only"
"Passerculus sandwichensis",1,1,1,3,40,"both","both","both"
"Passerella iliaca",1,1,1,4,183,"both","both","both"
"Passerina amoena",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Patagioenas fasciata",1,1,1,3,138,"both","both","both"
"Pelecanus erythrorhynchos",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Perisoreus canadensis",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Peromyscus keeni",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Peromyscus maniculatus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Petrochelidon pyrrhonota",1,1,1,0,5,"both","both","both"
"Phalacrocorax auritus",1,1,1,2,979,"both","both","both"
"Phalacrocorax pelagicus",1,1,1,3,898,"both","both","both"
"Phalacrocorax penicillatus",1,1,1,0,153,"both","both","both"
"Phalaenoptilus nuttallii",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Phalaropus lobatus",1,1,1,0,2,"both","both","both"
"Phalaropus tricolor",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Pheucticus ludovicianus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Pheucticus melanocephalus",1,1,1,7,236,"both","both","both"
"Pica hudsonia",1,0,0,0,1,"both","cs_only","cs_only"
"Picoides arcticus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Picoides dorsalis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Picoides pubescens",1,1,1,1,217,"both","both","both"
"Picoides villosus",1,1,1,10,217,"both","both","both"
"Pinicola enucleator",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Pipilo maculatus",1,1,1,14,1894,"both","both","both"
"Piranga ludoviciana",1,1,1,2,252,"both","both","both"
"Plectrophenax nivalis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Pluvialis dominica",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Pluvialis squatarola",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Podiceps auritus",1,1,1,2,504,"both","both","both"
"Podiceps grisegena",1,1,1,1,442,"both","both","both"
"Podiceps nigricollis",1,1,1,0,3,"both","both","both"
"Podilymbus podiceps",1,1,1,8,652,"both","both","both"
"Poecile gambeli",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Poecile hudsonica",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Poecile rufescens",1,1,1,8,1304,"both","both","both"
"Pooecetes gramineus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Porzana carolina",1,1,0,1,1,"both","both","cs_only"
"Progne subis",1,1,0,0,18,"both","both","cs_only"
"Psaltriparus minimus",1,1,1,0,37,"both","both","both"
"Quiscalus quiscula",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Rallus limicola",1,1,1,2,102,"both","both","both"
"Recurvirostra americana",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Regulus calendula",1,1,1,3,381,"both","both","both"
"Regulus satrapa",1,1,1,11,951,"both","both","both"
"Riparia riparia",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Salpinctes obsoletus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Sayornis phoebe",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Sayornis saya",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Seiurus aurocapilla",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Seiurus noveboracensis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Selasphorus calliope",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Selasphorus rufus",1,1,1,15,393,"both","both","both"
"Setophaga auduboni",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Setophaga coronata",1,1,1,22,463,"both","both","both"
"Setophaga magnolia",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Setophaga nigrescens",1,1,1,3,341,"both","both","both"
"Setophaga ruticilla",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Setophaga striata",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sialia currucoides",1,1,0,0,1,"both","both","cs_only"
"Sialia mexicana",1,0,0,0,1,"both","cs_only","cs_only"
"Sitta canadensis",1,1,1,4,1064,"both","both","both"
"Sitta carolinensis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sitta pygmaea",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sphyrapicus nuchalis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sphyrapicus ruber",1,1,1,24,318,"both","both","both"
"Sphyrapicus thyroideus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Spinus pinus",1,1,0,15,608,"both","both","cs_only"
"Spinus tristis",1,1,1,2,193,"both","both","both"
"Spizella arborea",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Spizella breweri",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Spizella pallida",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Spizella passerina",1,1,1,1,5,"both","both","both"
"Stelgidopteryx serripennis",1,1,1,1,89,"both","both","both"
"Stercorarius parasiticus",1,1,1,0,4,"both","both","both"
"Sterna forsteri",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sterna hirundo",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Sterna paradisaea",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Strix nebulosa",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Strix varia",1,1,1,35,264,"both","both","both"
"Sturnella neglecta",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Surnia ulula",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Synthliboramphus antiquus",1,1,1,0,8,"both","both","both"
"Tachycineta bicolor",1,1,1,20,474,"both","both","both"
"Thryomanes bewickii",1,1,0,0,18,"both","both","cs_only"
"Tringa flavipes",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Tringa incana",1,1,1,0,1,"both","both","both"
"Tringa melanoleuca",1,1,1,0,8,"both","both","both"
"Tringa solitaria",1,1,1,0,1,"both","both","both"
"Troglodytes aedon",1,1,0,2,52,"both","both","cs_only"
"Troglodytes hiemalis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Troglodytes pacificus",1,1,1,13,1290,"both","both","both"
"Turdus migratorius",1,1,1,27,1481,"both","both","both"
"Tympanuchus phasianellus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Vireo cassinii",1,1,1,0,51,"both","both","both"
"Vireo gilvus",1,1,1,2,364,"both","both","both"
"Vireo huttoni",1,1,1,1,113,"both","both","both"
"Vireo olivaceus",1,1,1,0,10,"both","both","both"
"Vireo solitarius",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Xanthocephalus xanthocephalus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Zenaida macroura",1,1,1,0,3,"both","both","both"
"Zonotrichia albicollis",1,1,1,1,11,"both","both","both"
"Zonotrichia atricapilla",1,1,1,3,153,"both","both","both"
"Zonotrichia leucophrys",1,1,1,11,421,"both","both","both"
"Zonotrichia querula",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
